1,Paint Scraper 40mm,3
2,GI Tee 0.5in Thai,124
3,GI Nipple 0.5in Thai,42
4,GI Socket 0.5in Thai,131
5,GI Elbow 0.5in Thai,110
6,Super Grif Bibcock 0.5in CP Long,7
7,CP Reducer Nipple 0.75x0.5in,76
8,CP Reducer Bush 0.5x0.375in,100
9,Sanwa Bibcock 0.5in China,0
10,So-Pure Water Filter Double,4
11,Royal Wash Basin Mixer Single-Nob,0
12,Super General Fan 12in Rechargeable,4
13,PM Sink Mixer Single Hole Single Lever A01,2
14,PM Wash Basin Mixer Single Lever,2
15,PM Wash Basin Mixer Single Lever E1,5
16,Hesanit Sink Mixer,7
17,Boosni Sink Mixer Single Hole,1
18,Hesanit Shower Mixer Single Lever,9
19,Delta Shower Mixer Lever,3
20,Jomix Wash Basin Mixer Lever Tap,5
21,Winbnix Sink Tap Wall,3
22,Unique Sink Mixer New,7
23,Keller Wash Basin Mixer Single Lever,0
24,Jafa Wash Basin Mixer,0
25,Belano Wash Basin Mixer Double Handle,6
26,Belano Sink Mixer Single Lever,5
27,Belano Shower Mixer Single Lever,2
28,Belano Shower Mixer Double Handle,1
29,Royal Shower Mixer Single Lever,13
30,Unique Sink Mixer Single Lever,8
31,Aristone Mixer Single Hole CP,1
32,Keller Shower Mixer Single Lever,6
33,Drill Chuck 13mm (1/2),6
34,Drill Bit Set Germany,3
35,Tile Cutter,12
36,LWD Wire Clip Round 12.0,1
37,Cable Number 2.5mm (1),1000
38,Cable Number 4mm (5),500
39,Cable Number 4mm (4),500
40,Stanly Tools Sheffield 18mm,2
41,Rect Angle 12in,7
42,Rect Angle 24in,2
43,Felding knife lock-back,1
44,Davey Pump Seal Kit -Impler,1
45,Stanly Wheel Replacement,7
46,Drain Spring 15in 4.6m,6
47,Aluminiaum Handle Door,2
48,Relexaflex Shower Pipe 150cm,9
49,Rubicon Screw Driver Set,0
50,Measure Tape 50m,1
51,Lupus Cutting Blade 4.5in Large,2
52,Tianle Drill Locking Shuk,3
53,Valve Wire Stripper,3
54,Self-Locing Hasp Lock 4in,4
55,Jixa Blade,1
56,Flot Bits Wood 6ps,2
57,Door Lock China,4
58,Laminate Cutter,1
59,Royal Aviation cutter,1
60,Cable Tie 150x3.6,3
61,Cable Tie 150x2.5,2
62,Cilecone Gun,2
63,Spray Gun,3
64,Oxford Dmt Paint Brush 3x5/8,1
65,Zilco Extention Wire 4g/3m,3
66,Klastar Extention Wire 4g/3m,0
67,Novex Extention Socket 4g/3m,1
68,Qira Extention Socket 4g/3m,1
69,Cable Tie Small,1
70,File Set 8in5,2
71,Tile Spacers,2
72,C-Clamp,1
73,Lame Acieer Souple 20cm,1
74,Pipe Cutter 1/8 – 1 1/4,1
75,Wranch Double Open End 16x17,1
76,Screw Driver 7pcs Set Kpicus,1
77,Scraper Japan,3
78,Cable Tie 450x76,0
79,Gromix-Showers China,0
80,Regen Bogen Shower Set Suding,1
81,Jasko Flush Tank,1
82,Ktte Flush Tank Malaysia,2
83,Spirex Exhaust Fan 6in Nr-20,7
84,Berkefeld Water Filter,11
85,Cable Joint,5
86,Heeco Pressure Control V,15
87,C.R.I Pressure Control V,8
88,Como Pressure Control V,2
89,Grundfos Kit H Italy,2
90,Aspa Pressure Control V,0
91,C.R.I Pressure Control H,13
92,Heeco Pressure Control H,2
93,C.R.I Control Box 2hp,2
94,C.R.I Control Box 1hp,1
95,Control Box 2hp China,8
96,Control Box 1hp China,8
97,Extra Control Box 1hp,1
98,Tarbo Pressure Kit H,1
99,Awie Pressure Kit H,1
100,Buraq Pressure Kit V,1
101,Logicpress Pressure Kit,2
102,Heeco Flot Switch,1
103,Unique Shattaf,3
104,PM Shower Head,10
105,Omega Shower Head,3
106,Boosani Shattaf,0
107,PM Shower Head Round,6
108,EMC Shattaf,4
109,Jomix Shower Head,2
110,Milano Shattaf,0
111,Royal Shattaf,3
112,Grohe Shattaf,1
113,Kala Shattaf,5
114,Jomix Shattaf,2
115,Oasi Shattaf,2
116,Unique Shower Head Only 3 Function,1
117,Heeco Shower Head,2
118,Roma Shattaf,3
119,Sicher Shower Set,0
120,Miro Shattaf Italy,3
121,HM Shattaf,0
122,Jafa Shower Mixer Set,6
123,Jafa Wash Basin Mixer,6
124,RB Shower Mixer,5
125,RB Wash Basin Mixer,2
126,Extension Reel 25m,1
127,Royal Sink Mixer,4
128,Royal Kitchen Mixer Single Hole,10
129,Royal Sink Mixer Lever Tap,2
130,Admiral Wash Basin Mixer Two Hole,3
131,Cartoon Sink Mixer 0.5in Wall,5
132,Cartoon Basin Mixer Two Hole,1
133,Cartoon Basin Mixer Single Hole,1
134,Jomix Sink Mixer Single Hole Single Lever,3
135,Speedy Fisher 6mm,17
136,PM Sink Tap 0.5in,19
137,Jasmin Sink Mixer Double Handle,11
138,XXX,0
139,Doulton Water Filter MK11,4
140,Bonus Sink Mixer Lever Tap,1
141,Sicher Shower Set,6
142,Sanwa Bibcock 0.75in,10
143,Aramix Wash Basin Mixer Two Way Hole,1
144,Kistenmacher Wash Basin Mixer Two Hole,1
145,XXX,0
146,Kistenmacher Lavatory Mixer Bridge Type,1
147,Kistenmacher Pillar Tap 0.5in,2
148,Kistenmacher Built-in Valve 0.5in,3
149,Kistenmacher Built-in Valve 0.75in,5
150,Jomix CP Concealed Valve 0.75in,1
151,Kistenmacher Shower Mixer Wall,3
152,Admiral Basin Mixer Single Hole,3
153,Perfect Fischer 8mm,1
154,MPC Water Filter,2
155,Grohe Shower Mixer Wall Lever,1
156,Kistenmacher Sink Mixer Wall,2
157,Lai Tuo Solar Lantern,1
158,Aramix Sink Mixer Wall,1
159,Bossini Handle Valve 1.5in,6
160,Brezza Handle Valve 0.5in,3
161,Formec Handle Valve 2in,1
162,Royal Ball Valve 0.75in Brass,2
163,Genera Handle Valve 0.5in,2
164,Royal Handle Valve 0.5in,9
165,PM Bibcock Brass,1
166,Turbo Isolator,1
167,Super Omega Sink Cock Single,1
168,Genera Handle Valve 0.75in,40
169,Genera Handle Valve 0.5in,36
170,Sanwa Handle Valve 1in,20
171,Bossini Handle Valve 0.75in,60
172,Bossini Handle Valve 2in,2
173,Bossini Handle Valve 1.25in,11
174,Aquasan CP Bottle Trap 1.25in,1
175,Line Color Screw Driver 2x150mm,1
176,Heeco Mirror Clip,42
177,Pegler Handle Valve 0.5in Full Bore BP500,9
178,Pegler Bibcock Brass 0.5in,7
179,Pegler Gate Valve Full Brass 2in,2
180,Jubliee Clip 2in,250
181,Jubilee Clip 3in,40
182,Rambo Gate Valve 0.5in Brass,2
183,Screw Driver 6x150mm,4
184,Oilione Double Tap,1
185,ANA Handle Valve 3/4,10
186,Pegler Check Valve 1x0.5in Swing Type,2
187,Dorma Door Closer,2
188,Pegler Gate Valve Brace Full 1x0.5in,2
189,XXX,0
190,Jomix Handle Vaalve 3/4,5
191,Pegler Handle Valve 0.5in Full Bore PB100,12
192,Euro Bibcock 1in,2
193,Pegler Gate Valve Full Bore Brass 0.75,7
194,Pegler Gate valve Full Bore Brass 0.5in,8
195,Pegler Gate Valve 0.5in Full Bore,9
196,Blanco Selon Mixer Mixer,10
197,Doulton Water filter Candle Ceramic,17
198,Doulton Water Filter Candle Ceramic (OBE),1
199,Formac Handle Valve 0.5in,1
200,Bmeter Water Meter 110mm,1
201,Pegler Brass Foot Valve 2in,7
202,Pegler Brass Foot Valve 1in,20
203, Tangit Glue PVC,5
204,Bossini Bibcock 0.5in,1
205,Pegler Gate Valve Full Brass 1in,1
206,M-Seal,5
207,Shellac Gasket,98
208,Jomix Gate Valve 0.5in Full Bore,1
209,PVC Glue 125g,26
210,PVC Glue 250g,36
211,PVC Glue 500g,4
212,Royal Handle Valve 0.5in,1
213,GMSA Silicon Clear,20
214,GMSA Silicon White,17
215,Super Omega kanseed valve,4
216,General Handle Valve 1.25in,1
217,Tosum Energy Meter 10(40),0
218,GFC Fan Dimmer,1
219,Spot Light Holder,1
220,Fischer 10mms,6
221,Cable Number 6mm (B),1050
222,Cable Number 2.5mm (y),1000
223,Cable Number 2.5mm (2),500
224,Cable Number 2.5mm (N),1000
225,Cable Number 4mm (7),500
226,Cable Number 6mm (3),500
227,Handel Washer PVC 8mm,63
228,Cable Clips 3.5mm,1
229,Fischer 5mm,1
230,KYK Bearing 6201,4
231,IJK Bearing 6000,9
232,DPI Bearing 6300,4
233,Bulb Reflector 40W R 50 E14,1
234,NTN Bearing 6300,4
235,LWD Wire clip Round 6.0,3
236,Radak Bearing 6202,6
237,Connectors 4mm,11
238,KBC Bearing 6203,2
239,NIS Bearing 6305,1
240,Nachi Bearing 6206,0
241,KOYO Bearing 6301,3
242,KOYO Bearing 6002,1
243,KOYO Bearing 6302,5
244,KOYO Bearing 6303,1
245,KOYO Bearing 6304,2
246,Nachi Bearing 6005,7
247,Nachi Bearing 6303,1
248,Nachi Bearing 6304,1
249,MCP Water Filter Candle,0
250,Pure water Filter Candle,1
251,PM Pressure Control v,5
252,Xtra Automatic Control H,1
253,Panyi Spare Blade,2
254,Walton Tile cutter Carbibe Tipped,2
255,Sun City Hand Blind Riveter,2
256,Giken Tile Cutter,3
257,Sanli PP-R Cutter,3
258,ROYs Nose Plus,1
259,Stanly Nose Plus,1
260,Deca Super Cable Cutter,1
261,Soap Dispenser Single,1
262,Soap Dispenser Double,2
263,ModoMix Soap Holder,11
264,Nachi Bearing 6302,18
265,Nachi Bearing 6301,16
266,Nachi Bearing 6304,8
267,Nachi Bearing 6305,1
268,Nachi Bearing 6300,5
269,Nachi Bearing 6000,2
270,Nachi Bearing 6200,2
271,Nachi Bearing 6002,2
272,Nachi Bearing 6003,1
273,NSK Bearing 6001,10
274,NSK Bearing 6003,10
275,NSK Bearing 6201,8
276,NSK Bearing 6302,1
277,NSK Bearing 6202,7
278,NSK Bearing 6203,7
279,NSK Bearing 6204,6
280,NSK Bearing 6303,6
281,NSK Bearing 6205,1
282,NSK Bearing 6004,3
283,KG Bearing 6205,2
284,NSK Bearing 6305,6
285,NSK Bearing 6208,1
286,waire Proof (E10-1210),1
287,Clipsal DP Switch Two Gang with Neao,11
288,Clipsal Flush Switch Two Gang One Way,9
289,Clipsal Switch Socket Outlet 15MP,8
290,Clipsal Flush Switch Single Gang One way,8
291,Clipsal Switch Socket Outlet Twin 13mp,14
292,Clipsal Connection Socket single,7
293,Square-D Pressure Switch,5
294,Elettro Pronto Pressure Switch EP-02,1
295,Elettro Pronto Pressure Switch ItalyS,1
296,Novex Socket 1 Way 1 Gang W/P 13MP,9
297,Novex Switch 2Gang 2Way,6
298,Novex Bell Switch 1Gang Waterproof,8
299,Hager Breaker 10MP,3
300,Hager Breaker 32MP,3
301,Hager Breaker 20MP,4
302,Magnetic Motor Starter,1
303,Novex Socket SW Trailing 2 Gang 13MP,6
304,Novex Switch 1Gang 1Way,45
305,Novex Switch 2Gang 1Way 3x3,48
306,Novex Switch 4Gang 1Way,11
307,Novex Switch 3Gang 1Way,45
308,Novex Switch 3Gang W/P 10 Amp,1
309,Novex S/S 13AMP Dubble,14
310,Novex S/S 13 Amp,21
311,Novex Lamp Holder (B 22),10
312,Novex S/S 15AMP,9
313,Osaka PVC Tape,271
314,Gamsa PVC Tape,10
315,Novex Switch 6 Gang 3x6,18
316,Novex A type 2 gang Rj408 position 8 wire,18
317,Aramaix Wash Basin Mixer 2 Hole,3
318,Hesanit Wash Basin Mixer Single Lever,1
319,Novex Mix Switches,12
320,Novex TV Socket 1Gang,39
321,Circuler Box Cover Round,42
322,Motor Starter China 15/DZ,1
323,Novex Tel Socket 1Gang,40
324,Novex Blank Plate 1Gang 3x3,45
325,Novex Switch 10AMP 3Gang 1Way,5
326,Novex Switch Box Cover 3/3,65
327,Novex Bell Push,8
328,Novex Switch 20AMP 1Gang Double Pole,10
329,Novex Telephone Socket 2Gang Scendry,11
330,Novex Switch 20AMP 1Gang Double Pole,10
331,Klostar Round Wiring Clip (18),10
332,Klostar Wire Clip Round (14),10
333,Klostar Wire Clip Round (10),8
334,Klostar Wire Clip Round (12),10
335,Klostar Wire Clip Round (8),9
336,Klostar Wire Clip Round (7),8
337,Klostar Wire Clip Round (6),9
338,Klostar Wire Clip Round (5),9
339,Klostar Wire Clip Round (4),9
340,Klostar Wire Clip Round (20),3
341,LWD Wire Clip (4.0),3
342,Klostar Wiring Clip Round (9),10
343,Klostar Wiring Clip Round S (12),2
344,Novex GI Box 3/3,25
345,NovexGI Box 3/6,5
346,Klostar PVC Box 3/3,12
347,Multi Plug 2 Pin,6
348,D&B 15AMP Multy Plug,11
349,China Plug 13 Amp,12
350,Kistenmacher W/P Isolater 20 Amp SP,2
351,Novex 13Amp Plug,43
352,Zilco 13 Amp Multy Plug,9
353,Brillint Iron Plug,4
354,Bolton Iron Plug With Switch,10
355,Novex Adapter 13AMP 3Way,8
356,Royal Tester Small,48
357,Royal Tester Large,85
358,Digiton Bell Remote Control,1
359,Novex Starter S 10,108
360,Novex Energy Saver 30W,10
361,Novex Mercury Lamp 160W,5
362,Novex Mercury Lamp 250W,12
363,Novex Mercury Lamp 500W,1
364,Rado Door bell,6
365,Cooker Socket 45AMP 3Gang,1
366,Khaleegia Door Bell,1
367,Excel Electronic Door Bell,2
368,Novex Door bell,2
369,Silver Door Bell Variable,2
370,Silver Door Bell Single,1
371,Omex Door Bell 4411,4
372,Omex Door Bell 4412,1
373,Omex Door Bell 4413,1
374,Unknown Door Bell,2
375,Novex Met/H Daylight 400W E40,4
376,XXX,0
377,Omex Met/H Daylight 400W,1
378,Emergency Light,2
379,Novex D/L 11W E27 3U,19
380,Novex D/L 13W 2Pin,27
381,Dichro Tester small,1
382,Novex Bulb 100W E27 Frosted,60
383,Novex Bulb 60W E27 Frosted,11
384,Novex Bulb 60W B22 Clear,5
385,Novex Lamp 100W B22 Clear,18
386,Novex Energy Saver 13W,13
387,FullWat Energy Saver 13W 2u 2pin,25
388,Dura Energy Saver 26W,1
389,Snowlite S/S 13AMP 2Gang,2
390,Snowlite S/S Round-Pin 15Amp,10
391,Snowlite S/S 13AMP 1 Gang,2
392,C/P Elbow 1/2”,45
393,Novex Energy Saver 16W Daylight,1
394,Myga Energy Saver 11W,1
395,Bossini Handle Valve 2.5in,2
396,Osram Sodium Lamp 70W,1
397,Librite Energy Saver 9W,2
398,Excel Energy Saver 23W Mini E27,4
399,Novex Energy Saver 18W,44
400,Toxly UV Lamp,4
401,Novex Candle Lamp 40W E27,5
402,Philips Candle Lamp 40W E14,1
403,Novex Energy Saver 11W,7
404,Dupro Refrigerator Lamp 15W,7
405,Novex Daylight Spirel 26W E27,10
406,Novex Daylight 3U 20W E27,9
407,Novex Daylight 2U 9W E14,8
408,Novex Fluorescent 2U 26W 2pin,1
409,Novex Energy Saver 30W Daylight E27,11
410,Eurolite D/L18 W 3U,4
411,Novex E/S D/L 15W E27 3U,1
412,Cometstar Lamp 5W E27,27
413,Novex Lamp 5W E27,22
414,Novex Candel Lamp 60W E14,11
415,Novex Candel Lamp 40W E 27,42
416,Solelux Halogen Lamp 1500W,3
417,Solelux Halogen Lamp 1000W,2
418,Solelux Halogen Lamp 500W,1
419,Dura E/S 18W 4U E 27,1
420,Snowlite Energy Saver 26W E27,8
421,Novex Halogen Lamp 500W,11
422,Novex Elect Choke 50W 12V,7
423,APCO Pressure Control Kit Vertical,28
424,Novex D/L Round 32W,6
425,PPR Machine Box 1-2in,1
426,Atlas W/F Mob,1
427,China Wash Basin Mixer Lever Crystal,1
428,Atlas Water Filter Double,1
429,Snowlite Ventilation Fan 6in Round,0
430,Younas Ventilation Fan 8in Round,2
431,Khaleegia Ventilation Fan 9in AutoShutter,1
432,Shams Ventilation Fan 8 in Round,1
433,Elettro Pronto Float Switch,3
434,Pak Ventilation Fan 8in Round,1
435,Pak Ven/Fan Round 8 in,1
436,Templair Ventilation Fan Round 6in,1
437,Kenwel Ventilation Fan Square6in,1
438,Atlas Water Filter Single,6
439,So-Safe Water Filter Single,1
440,Astron Ventilation Fan 6in Round,1
441,Younas Ventilation Fan 6in Round,4
442,Myga Ventilation Fan 6in Round,2
443,Avon Exhaust Fan 6in Round,1
444,XXX,0
445,Fullwat Round Bulb,1
446,Khaleegia Ventilation Fan Plastic Round 6in(K-C6),3
447,Khaleegia Ventilation Fan K-M6,1
448,Pak Exhaust Fan Metal with Grill Square 8in,1
449,Kenwel Ventilation Fan Plastic Square grill K-K6,1
450,Pak ventilation Fan Plastic Round 8in,11
451,Tracon Exhaust Fan Auto Shutter 6in,1
452,Spirex Ventilation Fan 8in Round NR-20,2
453,Novex Water Heater Outlet,8
454,Saynora Ventilation Fan 6in Round,1
455,Hayashi Ventilation Fan KM-AD8,1
456,Hayashi Ventilation Fan (17Hcv),1
457,Kenwel Duct Fan (kn-K6),1
458,CP Jali (Blue) 6X6,7
459,Spray Paint White,1
460,Spray Paint Grey,1
461,Spray Paint Black,1
462,Espa Submersible Pump 1HP 8x0.5in Deepwell,2
463,General Fitting Handle Valve 3in,1
464,General Fitting Handle Valve 4in,1
465,GSESCO Jali 8x8in PVC 3P,8
466,Local Jali 6x6in PVC 3P,33
467,Jali 6x6in CP xP,16
468,Jali 3x3in PVC xP,2
469,Jali XxXin PVC xP,2
470,Aqua Floor drain with cover,1
471,Paper Holder Box,1
472,GSESCO Jali 6x6in PVC 3P,1
473,Local Jali 4x4in PVC,2
474,Local Jali 3x3in PVC,9
475,Euro Foot Valve 4in Brass,9
476,Pegler Foot Valve 3in Brass,1
477,XXX,0
478,Euro Foot Valve 2.5in,2
479,XX NR Valve 3in Brass,2
480,XX NR Valve 2.5in Brass,2
481,XX Check Valve 4in,1
482,XX Check Valve 3in,1
483,XX Foot Valve 3in Brass,1
484,PlasPlugs Wallpaper Stripper,1
485,Wash Basin Mixer Clinical,2
486,General Fitting Handle Valve 2in,4
487,General Fitting Handle Valve 1.5in,3
488,Markers Water Pump 0.5HP,5
489,Sanwa Bibcock 0.5in Handle Hose,39
490,Novex Daylight 16W E27,23
491,MJM Pump,1
492,Aqua Acid Su 5KG,7
493,Valeri Water Pump 1HP,5
494,Prakash Water Pump 0.5HP,4
495,Kistenmacher Water Pump 0.5HP,7
496,Pak Louver Fan 16in,1
497,Rustaq Wall Fan 16in,1
498,Danway Router / Trimmer,1
499,Astron Water Pump 1HP,1
500,Younas Wall Fan 16in,1
501,Al-Ahmed Wall Fan 18in,1
502,Younas Wall Fan 18in,2
503,Insect Killer,1
504,Buraq Exhaust Fan 12in Metal,1
505,Pak Donkey Pump 1HP,1
506,Calpeda Swimming Pool Water Pump 1HP,1
507,Heeco float control,1
508,Buraq Wall Fan 16in,1
509,XXX,0
510,Tracon Ceiling Fan Duct Type 8”,1
511,Solar Fan China,1
512,China Motor 4HP 1400RPM 3PH,2
513,Calpeda Water Pump 2.5HP,1
514,Al-Ahmed Pedestal Fan 18in,1
515,GFC Pedestal Fan 24in 2-Blade,1
516,Khaleegia Pedestal Fan 30in 3-Blade,1
517,GFC Pedestal Fan 24in 4-Blade,1
518,GFC Table Fan Medium,1
519,Pak Table Fan 16in,2
